ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Indoor/Outdoor,Product Type,Blade Span (Diameter) (in.),Ceiling Fan Efficiency (CFM/W),Fan Power Consumption-Low Speed (W),Fan Power Consumption-High Speed (W),Fan Power Consumption-Standby (W),Ceiling Fan Features,Ceiling Fan Components Warranty (Years),Shipped with ENERGY STAR Lamp(s),ENERGY STAR Lamp Partner,Total Light Output (lumens),Total Lighting Input Power (Watts),Power Factor of Light Kit,Light Color Appearance (CCT),Light Color Quality (CRI),Light Source Rated Life (Hours),Light Kit Dimmability,Connected Functionality,Connects Using,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2359771,WAC Lighting,Wac Lighting,Mocha,F-001L,",,F-001L-* (""*"" can be any length of characters or blank)",,Indoor Ceiling Fan,Standard Fan with Light Kit,54,207.0,6.4,36.4,1.4,,3.0,0,"Seoul Demiconductor Co., Ltd",1440.0,20.0,0.9,,93.0,50000.0,1,0,,2020-02-01,2020-05-18,United States,ES_22491_F-001L_05182020030358_1038151,0
2375978,WAC Lighting,Wac Lighting,Mocha XL,F-064,",F-064-*,""*"" can be any length of characters or blank",,Outdoor Ceiling Fan,Standard Fan Only,66,320.0,4.2,34.5,1.4,,3.0,0,,,,,,,,1,0,,2021-06-01,2021-03-18,"United States, Canada",ES_22491_F-064_031020212001920_3650782,0
2376075,WAC Lighting,Wac Lighting,Mocha XL,F-064,",F-064-*,""*"" can be any length of characters or blank",,Outdoor Ceiling Fan,Standard Fan Only,66,320.0,4.2,34.5,1.4,,3.0,0,,,,,,,,1,0,,2021-06-01,2021-03-18,"United States, Canada",ES_22491_F-064_041320212127485_8588530,0
2375417,WAC Lighting,Wac Lighting,Mocha XL,F-064L,"Mocha XL,F-064L-*,""*"" can be any length of characters or blank",,Outdoor Ceiling Fan,Standard Fan with Light Kit,66,320.0,4.2,34.5,1.4,,3.0,0,"Seoul Demiconductor Co., Ltd",1440.0,20.0,0.9,,93.0,50000.0,1,0,,2021-06-01,2021-03-11,"United States, Canada",ES_22491_F-064L_031020212035321_3267903,0
2360008,WAC Lighting,Wac Lighting,Odyssey 52,F-005L,",,F-005L-** (""**'' can be any length of characters or blank)",,Indoor Ceiling Fan,Standard Fan with Light Kit,52,155.1,3.6,28.6,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2020-06-15,2020-05-20,"United States, Canada",ES_22491_F-005L_05202020062819_6099718,0
2360009,WAC Lighting,Wac Lighting,Odyssey 52,F-005L,",,F-005L-** (""**'' can be any length of characters or blank)",,Indoor Ceiling Fan,Standard Fan with Light Kit,52,155.1,3.6,28.6,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2020-06-15,2020-05-20,"United States, Canada",ES_22491_F-005L_05202020062846_6126038,0
2360010,WAC Lighting,Wac Lighting,Odyssey 52,F-005L,",,F-005L-** (""**'' can be any length of characters or blank)",,Indoor Ceiling Fan,Standard Fan with Light Kit,52,155.1,3.6,28.6,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2020-06-15,2020-05-20,"United States, Canada",ES_22491_F-005L_05202020062901_6141756,0
2360011,WAC Lighting,Wac Lighting,Odyssey 52,F-005L,",,F-005L-** (""**'' can be any length of characters or blank)",,Indoor Ceiling Fan,Standard Fan with Light Kit,52,155.1,3.6,28.6,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2020-06-15,2020-05-20,"United States, Canada",ES_22491_F-005L_05202020062918_6158396,0
2369732,WAC Lighting,Wac Lighting,Odyssey Flush 44,F-034L,",,2700K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,44,121.1,4.5,21.8,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-034L_11202020064936_4976280,0
2369733,WAC Lighting,Wac Lighting,Odyssey Flush 44,F-034L,",,3000K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,44,121.1,4.5,21.8,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-034L_11202020064949_4989157,0
2369734,WAC Lighting,Wac Lighting,Odyssey Flush 44,F-034L,",,3500K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,44,121.1,4.5,21.8,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-034L_11202020065005_5005850,0
2369735,WAC Lighting,Wac Lighting,Odyssey Flush 44,F-034L,",,4000/4100K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,44,121.1,4.5,21.8,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-034L_11202020065035_5035923,0
2369736,WAC Lighting,Wac Lighting,Odyssey Flush 52,F-035L,",,2700K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,52,132.3,4.5,31.2,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-035L_11202020070031_5631775,0
2369737,WAC Lighting,Wac Lighting,Odyssey Flush 52,F-035L,",,3000K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,52,132.3,4.5,31.2,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-035L_11202020070457_5897400,0
2369738,WAC Lighting,Wac Lighting,Odyssey Flush 52,F-035L,",,3500K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,52,132.3,4.5,31.2,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-035L_11202020070513_5913153,0
2369739,WAC Lighting,Wac Lighting,Odyssey Flush 52,F-035L,",,4000/4100K",,Indoor Ceiling Fan,Hugger Fan with Light Kit,52,132.3,4.5,31.2,1.4,,3.0,0,WAC Lighting Co,2200.0,25.0,0.9,,93.0,54000.0,1,0,,2021-01-01,2020-11-20,"United States, Canada",ES_22491_F-035L_11202020070531_5931836,0
2359805,WAC Lighting,Wac Lighting,ORB,F-004,"ORB,F-004-* (""*"" can be any length of characters or blank),",,Indoor Ceiling Fan,Standard Fan Only,44,175.0,3.3,26.9,1.6,,3.0,0,,,,,,,,1,0,,2020-01-31,2020-05-17,United States,ES_22491_F-004_05182020032937_2577395,0
2359775,WAC Lighting,Wac Lighting,ORB,F-004L,"ORB,F-004L-* (""*"" can be any length of characters or blank),""*"" can be any length of characters or blank",,Indoor Ceiling Fan,Standard Fan with Light Kit,44,175.0,3.3,26.9,1.6,,3.0,0,"Seoul Demiconductor Co., Ltd",1440.0,20.0,0.9,,93.0,50000.0,1,0,,2020-01-31,2020-05-17,United States,ES_22491_F-004L_05182020064223_4143062,0
2390181,WAC Lighting,Wac Lighting,Sonoma,F-070L,,,Outdoor Ceiling Fan,Standard Fan with Light Kit,56,139.0,5.6,38.9,1.4,,3.0,0,"Seoul Semiconductor Co., Ltd",1657.0,20.0,0.9,,94.0,54000.0,1,0,,2022-03-01,2021-12-23,"United States, Canada",ES_22491_F-070L_122220211745184_9740548,0
2390187,WAC Lighting,Wac Lighting,Sonoma,F-070L-**,,790576884257;790576884264,Outdoor Ceiling Fan,Standard Fan with Light Kit,56,139.0,5.6,38.9,1.4,,3.0,0,"Seoul Semiconductor Co., Ltd",1657.0,20.0,0.9,,94.0,54000.0,1,0,,2022-03-01,2021-12-23,"United States, Canada",ES_22491_F-070L-**_010520222319849_5842733,0
2390188,WAC Lighting,Wac Lighting,Sonoma,F-070L-**/**,,790576884271,Outdoor Ceiling Fan,Standard Fan with Light Kit,56,139.0,5.6,38.9,1.4,,3.0,0,"Seoul Semiconductor Co., Ltd",1657.0,20.0,0.9,,94.0,54000.0,1,0,,2022-03-01,2021-12-23,"United States, Canada",ES_22491_F-070L-**/**_010520222319695_2447839,0
2380568,WAC Lighting,Wac Lighting,Stella,F-056,,,Outdoor Ceiling Fan,Standard Fan Only,60,194.6,5.0,26.0,1.5,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-056_061720210053814_4397023,0
2381564,WAC Lighting,Wac Lighting,Stella,F-056*,",,(""*"" can be any length of characters or blank)",,Outdoor Ceiling Fan,Standard Fan Only,60,194.6,5.0,26.0,1.5,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-056*_062220210033831_1290980,0
2381663,WAC Lighting,Wac Lighting,Stella,F-056L,,,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L_070120210246478_4994895,0
2381665,WAC Lighting,Wac Lighting,Stella,F-056L,,,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L_070720210049160_1481069,0
2381671,WAC Lighting,Wac Lighting,Stella,F-056L,,,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L_070720210049173_3375619,0
2381662,WAC Lighting,Wac Lighting,Stella,F-056L-**,",,(""*"" can be any letter or blank	",,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L*_070720210051403_6092113,0
2381668,WAC Lighting,Wac Lighting,Stella,F-056L-**,",,(""*"" can be any letter or blank	",,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L*_070720210049132_6716313,0
2381669,WAC Lighting,Wac Lighting,Stella,F-056L-**,",,(""*"" can be any letter or blank	",,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L*_070720210051449_8501840,0
2381664,WAC Lighting,Wac Lighting,Stella,F-056L-MB,,790576869056,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L-MB_070720210051378_1883241,0
2381667,WAC Lighting,Wac Lighting,Stella,F-056L-MB,,790576869056,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L-MB_070720210051953_3360360,0
2381670,WAC Lighting,Wac Lighting,Stella,F-056L-MB,,790576869056,Indoor Ceiling Fan,Standard Fan with Light Kit,60,194.6,5.1,26.1,1.5,,3.0,0,WAC Lighting Co,1100.0,16.0,0.86,,93.0,50000.0,1,0,,2021-09-01,2021-05-04,"United States, Canada",ES_22491_F-056L-MB_070720210052505_3950532,0
2381563,WAC Lighting,Wac Lighting,Stella,F-056-MB,,790576869049,Outdoor Ceiling Fan,Standard Fan Only,60,194.6,5.0,26.0,1.5,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-056-MB_06212021214574_7628509,0
2381562,WAC Lighting,Wac Lighting,Stella,F-056-MW,,790576869063,Outdoor Ceiling Fan,Standard Fan Only,60,194.6,5.0,26.0,1.5,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-056-MW_06212021214559_7605205,0
2391086,WAC Lighting,Wac Lighting,SWIRL,F-074L,,790576944142;790576944159;790576944166,Indoor Ceiling Fan,Standard Fan with Light Kit,54,150.0,3.6,35.7,1.4,,3.0,0,WAC Lighting Co,1790.0,19.5,0.89,,94.0,50000.0,1,0,,2022-02-15,2022-01-10,"United States, Canada",ES_22491_F-074L_011020220324410_3092748,0
2391088,WAC Lighting,Wac Lighting,SWIRL,F-074L-***,",,(*** stands for different colors, where each * can be a letter or a number, or blank)",790576944142;790576944159;790576944166,Indoor Ceiling Fan,Standard Fan with Light Kit,54,150.0,3.6,35.7,1.4,,3.0,0,WAC Lighting Co,1790.0,19.5,0.89,,94.0,50000.0,1,0,,2022-02-15,2022-01-10,"United States, Canada",ES_22491_F-074L-***_011920222112683_7606453,0
2391087,WAC Lighting,Wac Lighting,SWIRL,F-074L-***/***,",,(*** stands for different colors, where each * can be a letter or a number, or blank)",790576944142;790576944159;790576944166,Indoor Ceiling Fan,Standard Fan with Light Kit,54,150.0,3.6,35.7,1.4,,3.0,0,WAC Lighting Co,1790.0,19.5,0.89,,94.0,50000.0,1,0,,2022-02-15,2022-01-10,"United States, Canada",ES_22491_F-074L-***/***_011920222112667_3451105,0
2380457,WAC Lighting,Wac Lighting,Terminator UV,F-069U,,,Indoor Ceiling Fan,Standard Fan Only,60,200.8,4.7,27.0,1.4,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-069U_060920210252593_4140428,0
2380303,WAC Lighting,Wac Lighting,Terminator UV,F-069U*****,",,""*"" can be any letter or blank",,Indoor Ceiling Fan,Standard Fan Only,60,200.8,4.7,27.0,1.4,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-069U*_062120212259607_4072469,0
2380459,WAC Lighting,Wac Lighting,Terminator UV,F-069U-MB,,790576878546,Indoor Ceiling Fan,Standard Fan Only,60,200.8,4.7,27.0,1.4,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-069U-MB_062120212259577_9535552,0
2380458,WAC Lighting,Wac Lighting,Terminator UV,F-069U-MW,,790576878539,Indoor Ceiling Fan,Standard Fan Only,60,200.8,4.7,27.0,1.4,,3.0,0,,,,,,,,1,0,,2021-08-01,2021-05-04,"United States, Canada",ES_22491_F-069U-MW_062120212259528_8241935,0
2396922,WAC Lighting,Wac Lighting,Viper,F-071L,,,Outdoor Ceiling Fan,Standard Fan with Light Kit,60,194.0,4.1,27.2,1.4,,3.0,0,"Seoul Semiconductor Co., Ltd",1597.0,20.0,0.89,,94.0,54000.0,1,0,,2022-06-30,2022-05-23,"United States, Canada",ES_22491_F-071L_052720220534297_9923726,0
2396921,WAC Lighting,Wac Lighting,Viper,F-071L-***,",,*** stands for different colors, where each * can be a letter or a number, or blank",790576890852,Outdoor Ceiling Fan,Standard Fan with Light Kit,60,194.0,4.1,27.2,1.4,,3.0,0,"Seoul Semiconductor Co., Ltd",1597.0,20.0,0.89,,94.0,54000.0,1,0,,2022-06-30,2022-05-23,"United States, Canada",ES_22491_F-071L-***_052320220237796_1519663,0
