ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Oven Classification,Size,Heat Source Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Gas Oven Convection Mode Pre-Heat Energy (Btu),Electric Oven Convection Mode Pre-Heat Energy (kWh),Convection Mode Pre-Heat Time (min),Gas Oven Steam Mode Pre-Heat Energy (Btu),Electric Oven Steam Mode Pre-Heat Energy (kWh),Steam Mode Pre-Heat Time (min),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Method of Steam Generation,Half-Size and Full-Size Steam Pan Capacity,Two-Thirds-Size Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Electric Oven Steam Mode Idle Energy Rate (kW),Gas Oven Steam Mode Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Convection Mode Cooking Energy Efficiency (%),Steam Mode Cooking Energy Efficiency (%),Convection Mode Production Capacity (lbs/hr),Steam Mode Production Capacity (lbs/hr),Convection Mode Cooking Period Water Consumption (gal/pan),Convection Mode Idle Period Water Consumption (gal/hr/pan),Steam Mode Cooking Period Water Consumption (gal/pan),Steam Mode Idle Period Water Consumption (gal/hr/pan),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Steam Injection Period Water Consumption (gal/min),Date Available on Market,Date Certified,Markets,CB Model Identifier
4439626,Convotherm (A division of Welbilt),Convotherm,Cmn 6.06 pro,Cmn 6.06 pro,,,Combination,"Type I - Table, countertop, and stand mounted units",Two-thirds size,Electric,4.7,,,0.0,6.72,,0.0,2.3,0.54,,,,Boiler-less/Spritzer/Injector,,5.0,,,0.49,,,,76.0,69.0,,,,0.0,,0.0,,,,,2025-06-06,2025-07-01,"United States, Canada",ES_1123347_Cmn 6.06 pro_061020250910555_2494411
4439627,Convotherm (A division of Welbilt),Convotherm,Cmn 6.06 pro BL,Cmn 6.06 pro BL,,,Combination,"Type I - Table, countertop, and stand mounted units",Two-thirds size,Electric,4.7,,,0.0,6.72,,0.0,2.3,0.54,,,,Boiler-less/Spritzer/Injector,,5.0,,,0.49,,,,76.0,69.0,,,,0.0,,0.0,,,,,2025-06-06,2025-07-01,"United States, Canada",ES_1123347_Cmn 6.06 pro BL_061020250910939_1750669
4439624,Convotherm (A division of Welbilt),Convotherm,Cmn 6.10 pro,Cmn 6.10 pro,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,5.8,,,1.0,6.81,,0.0,2.5,0.61,,,,Boiler-less/Spritzer/Injector,5.0,,,,0.56,,,,79.0,71.0,,,,0.13,,0.26,,,,,2025-06-06,2025-07-01,"United States, Canada",ES_1123347_Cmn 6.10 pro_06102025091033_6054546
4439625,Convotherm (A division of Welbilt),Convotherm,Cmn 6.10 pro BL,Cmn 6.10 pro BL,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,5.8,,,1.0,6.81,,0.0,2.5,0.61,,,,Boiler-less/Spritzer/Injector,5.0,,,,0.56,,,,79.0,71.0,,,,0.13,,0.26,,,,,2025-06-06,2025-07-01,"United States, Canada",ES_1123347_Cmn 6.10 pro BL_061020250910960_7832290
2402104,Convotherm (A division of Welbilt),Convotherm,OES6.10 Mini,OES6.10 Mini,,,Combination,"Type I - Table, countertop, and stand mounted units",Half-size,Electric,5.6,,,,5.11,,0.0,2.5,0.61,,,,Boiler-less/Spritzer/Injector,4.0,,4.0,4.0,0.89,,,,81.0,69.0,44.3,61.1,0.0,0.0,0.05,1.5,,,,1.5,2022-10-03,2022-09-28,"United States, Canada",ES_1123347_OES6.10_092820221927184_9828954
2408390,Electrolux Professional,Electrolux Professional,COE11T30,COE11T30,",COE11D30,; ,COE11D3K,; ,COE11T3K,",,Combination,"Type I - Table, countertop, and stand mounted units",Half-size,Electric,19.0,,0.0,,3.13,0.0,,5.37,0.97,0.0,0.0,0.0,Boiler/Steam Generator,10.0,,10.0,,0.95,0.0,0.0,0.0,78.0,58.0,99.64,188.31,0.0,0.0,0.15,0.02,0.0,0.0,0.0,0.0,2018-11-05,2023-02-15,"United States, Canada",ES_1082677_COE11T30_01272023162425_7951013
2408470,Electrolux Professional,Electrolux Professional,COE12T30,COE12T30,",COE12D30,; ,COE12D3K,; ,COE12T3K,",,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,37.4,,0.0,1.0,2.55,0.0,3.0,4.8,1.32,0.0,0.0,0.0,Boiler/Steam Generator,20.0,,,20.0,1.94,0.0,0.0,0.0,85.0,63.0,188.26,400.7,0.0,0.0,0.15,0.03,0.0,0.0,0.0,0.0,2019-07-25,2023-02-23,"United States, Canada",ES_1082677_COE12T30_01302023094616_8440515
2408392,Electrolux Professional,Electrolux Professional,COE62T30,COE62T30,",COE62D30,; ,COE62D3K,; ,COE62T3K,",,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,21.4,,0.0,1.0,3.83,0.0,2.0,6.73,1.12,0.0,0.0,0.0,Boiler/Steam Generator,12.0,,,12.0,1.42,0.0,0.0,0.0,86.0,61.0,118.04,239.17,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.0,2019-07-12,2023-02-21,"United States, Canada",ES_1082677_COE62T30_01272023173440_9839898
2408393,Electrolux Professional,Electrolux Professional,COG11T30,COG11T30,",COG11D30,; ,COG11D3K,; ,COG11T3K,",,Combination,"Type I - Table, countertop, and stand mounted units",Half-size,Gas,,124538.0,5537.0,0.0,4.67,8349.0,0.0,6.75,0.0,4223.0,0.16,4769.0,Boiler/Steam Generator,10.0,,10.0,,0.0,6232.0,0.09,6539.0,63.0,45.0,98.27,200.12,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,2020-01-08,2023-02-21,"United States, Canada",ES_1082677_COG11T30_02162023174101_7208215
2408418,Electrolux Professional,Electrolux Professional,COG12T30,COG12T30,",COG12D30,; ,COG12D3K,; ,COG12T3K,",,Combination,"Type I - Table, countertop, and stand mounted units",,Gas,,189025.0,5099.0,0.0,3.32,8506.0,0.0,7.12,0.0,6154.0,0.18,6769.0,Boiler/Steam Generator,20.0,,,20.0,0.0,9888.0,0.11,10264.0,58.0,47.0,190.87,319.24,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,2019-07-18,2023-02-22,"United States, Canada",ES_1082677_COG12T30_02022023140923_9504052
