ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Product Class,Variable Speed Compressor,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2668624,Lg,LW8022IVSM,,048231605861,12.4,19.6,24.5,63.0,8000,115,Window,Straddles Windowsill,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.5,,387.0,0,2023-07-24,2023-09-27,United States,ES_1118034_LW8022IVSM_092620230506716_3115438,0
2740372,Lg,LW8024IVSM,,048231607308,15.0,23.6,28.8,85.0,8500,115,Window,Does Not Straddle Window or Windowsill,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,425.0,0,2023-11-01,2023-11-01,"United States, Canada",ES_1118034_LW8024IVSM_11202023125113_80190902,0
2453038,Lubeck,57H-ID0-B12HRFN8BCL0,,202301946727,13.9,19.4,22.2,58.0,12000,115,Window,Straddles Window,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),13.3,,677.0,0,2023-03-22,2023-04-06,"United States, Canada",ES_1127347_57H-ID0-B12HRFN8BCL0_040620230327410_9654989,0
2740429,Midea,1010451315,,840296508350,13.5,19.2,22.0,54.3,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),16.0,,375.0,0,2023-11-17,2023-11-17,"United States, Canada",ES_1138537_1010451315_11212023123132_80189560,1
2740431,Midea,1010451379,,840296508374,13.5,19.2,22.0,56.9,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.2,,592.0,0,2023-11-17,2023-11-17,"United States, Canada",ES_1138537_1010451379_11212023123132_80189560,0
2740430,Midea,1010451479,,840296508367,13.5,19.2,22.0,54.7,10000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),16.0,,469.0,0,2023-11-17,2023-11-17,"United States, Canada",ES_1138537_1010451479_11212023123132_80189560,1
3892173,Midea,MAH09B1AGR,,840296515310,20.9,25.0,41.2,129.0,9500,115,Window,Straddles Windowsill,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),17.6,,405.0,0,2024-12-25,2024-12-25,"United States, Canada",ES_1138537_MAH09B1AGR_01022025143937_80237074,1
3892174,Midea,MAH09H1AGR,,840296515303,20.9,25.0,41.2,129.0,9500,115,Window,Straddles Windowsill,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),17.6,,405.0,0,2024-12-25,2024-12-25,"United States, Canada",ES_1138537_MAH09H1AGR_01022025143937_80237074,1
4008623,Midea,MAH09N1AGR,,840296516546,20.9,25.0,41.2,129.0,9500,115,Window,Straddles Windowsill,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),17.6,,405.0,0,2025-04-02,2025-04-02,"United States, Canada",ES_1138537_MAH09N1AGR_04032025111848_80249678,1
4008622,Midea,MAH09S1AGR,,840296516553,20.9,25.0,41.2,129.0,9500,115,Window,Straddles Windowsill,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),17.6,,405.0,0,2025-04-02,2025-04-02,"United States, Canada",ES_1138537_MAH09S1AGR_04032025111848_80249678,1
4511256,Midea,MAW06V1UBL,,840296520048,13.5,19.2,22.0,53.1,6000,115,Window,Does Not Straddle Window or Windowsill,0,0,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.1,,298.0,0,2025-10-13,2025-10-13,"United States, Canada",ES_1138537_MAW06V1UBL_10142025110929_80271405,1
4498966,Midea,MAW06V1UWT,,840296519455,13.5,19.2,22.0,53.1,6000,115,Window,Does Not Straddle Window or Windowsill,0,0,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.1,,298.0,0,2025-09-12,2025-09-12,"United States, Canada",ES_1132323_MAW06V1UWT_09152025123819_80268567,1
2620517,Midea,MAW08AV1QWT,,840296503584;840296518175,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2023-07-18,2023-07-18,"United States, Canada",ES_1138537_MAW08AV1QWT_07272023171057_80176132,0
2669188,Midea,MAW08AV1QWT-C,,840296518182,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2023-09-26,2023-09-26,"United States, Canada",ES_1138537_MAW08AV1QWT-C_09282023160824_80183471,0
3354576,Midea,MAW08HV1CWT,,840296509265,13.9,19.4,22.2,56.0,8000,115,Window,Does Not Straddle Window or Windowsill,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.5,,414.0,0,2023-12-14,2024-01-02,United States,ES_1138537_MAW08HV1CWT_010220240946718_4545013,1
